,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
55,35-44,Engineering or Manufacturing,106000,USD,United States,Massachusetts,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
56,25-34,Government and Public Administration,115000,USD,United States,District of Columbia,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
57,25-34,Business or Consulting,103500,USD,United States,District of Columbia,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
58,25-34,Law,33200,USD,United States,New Jersey,8 - 10 years,2 - 4 years,Some college,Woman,White,Mid Level
59,35-44,Government and Public Administration,66139,USD,United States,,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
60,25-34,Education (Higher Education),52000,USD,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
61,25-34,Government and Public Administration,57409,USD,United States,,8 - 10 years,5-7 years,Master's degree,Woman,White,Senior Level
62,65 or over,Property or Construction,129000,USD,United States,Georgia,41 years or more,21 - 30 years,College degree,Man,White,Executive Level
63,25-34,Education (Primary/Secondary),54503,USD,United States,,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
65,25-34,Education (Higher Education),70000,USD,United States,Rhode Island,5-7 years,2 - 4 years,Master's degree,Non-binary,White,Mid Level
66,25-34,Nonprofits,92400,USD,United States,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White,Managerial Level
67,35-44,Health care,53000,USD,United States,Illinois,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
68,25-34,Computing or Tech,36000,USD,United States,Minnesota,5-7 years,5-7 years,College degree,Woman,White,Mid Level
69,25-34,Nonprofits,38000,USD,United States,Colorado,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
70,25-34,Government and Public Administration,87000,USD,United States,New York,5-7 years,2 - 4 years,Master's degree,Man,White,Mid Level
72,25-34,Insurance,59780,USD,United Kingdom,,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
73,25-34,Engineering or Manufacturing,45000,USD,United States,South Carolina,5-7 years,5-7 years,Some college,Woman,White,Mid Level
74,35-44,Computing or Tech,88000,USD,United States,Maryland,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer,Mid Level
75,35-44,Nonprofits,71000,USD,United States,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
76,45-54,Education (Higher Education),71000,USD,United States,Illinois,11 - 20 years,11 - 20 years,PhD,Woman,White,Managerial Level
77,35-44,Education (Primary/Secondary),75000,USD,United States,Georgia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
78,35-44,Education (Higher Education),80000,USD,United States,North Carolina,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
79,35-44,Computing or Tech,125000,USD,United States,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Senior Level
80,35-44,Education (Higher Education),65000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
81,45-54,Education (Primary/Secondary),45789,USD,United Kingdom,,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
82,25-34,Nonprofits,55000,USD,United States,Minnesota,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
83,25-34,Art & Design,91000,USD,United States,Pennsylvania,11 - 20 years,8 - 10 years,College degree,Woman,White,Senior Level
84,35-44,Engineering or Manufacturing,118000,USD,United States,Pennsylvania,8 - 10 years,5-7 years,College degree,Woman,White,Senior Level
85,35-44,Nonprofits,43602,USD,United States,,11 - 20 years,11 - 20 years,High School,Man,White,Mid Level
86,35-44,Education (Higher Education),65000,USD,United States,Pennsylvania,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
87,25-34,Business or Consulting,93500,USD,United States,Illinois,5-7 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
88,25-34,Sales,39520,USD,United States,Oregon,8 - 10 years,2 - 4 years,Some college,Woman,White,Senior Level
89,45-54,Computing or Tech,83571,USD,United States,,21 - 30 years,21 - 30 years,Master's degree,Man,White,Executive Level
91,55-64,Business or Consulting,240000,USD,United States,Massachusetts,31 - 40 years,11 - 20 years,Master's degree,Woman,White,Executive Level
92,25-34,"Accounting, Banking & Finance",90000,USD,United States,Tennessee,5-7 years,5-7 years,Master's degree,Woman,White,Managerial Level
93,25-34,Government and Public Administration,24548,USD,United States,,5-7 years,5-7 years,Some college,Man,White,Mid Level
94,55-64,Business or Consulting,70000,USD,United States,Washington,31 - 40 years,11 - 20 years,Master's degree,Woman,White,Senior Level
95,45-54,Computing or Tech,98166,USD,United States,Indiana,21 - 30 years,21 - 30 years,College degree,Man,White,Senior Level
96,25-34,Education (Primary/Secondary),63500,USD,United States,Tennessee,5-7 years,1 year or less,Master's degree,Woman,White,Executive Level
98,25-34,Nonprofits,49700,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
99,55-64,Computing or Tech,95000,USD,United States,Ohio,31 - 40 years,31 - 40 years,Some college,Man,White,Mid Level
100,35-44,Media & Digital,34881,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
101,25-34,Education (Higher Education),39940,USD,United States,Florida,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
102,25-34,Government and Public Administration,53000,USD,United States,North Carolina,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
103,45-54,Education (Primary/Secondary),47255,USD,United States,Indiana,31 - 40 years,21 - 30 years,Some college,Woman,White,Executive Level
104,35-44,Property or Construction,206000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
105,45-54,Health care,34361,USD,United States,Arizona,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
106,45-54,Engineering or Manufacturing,170000,USD,United States,Colorado,21 - 30 years,21 - 30 years,College degree,Woman,White,Senior Level
107,25-34,Hospitality & Events,75000,USD,United States,New York,5-7 years,5-7 years,College degree,Woman,White,Mid Level
108,35-44,Education (Higher Education),20000,USD,United States,Minnesota,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
109,25-34,Computing or Tech,123303,USD,United States,Texas,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American,Senior Level
110,35-44,Government and Public Administration,56683,USD,United States,,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American,Managerial Level
111,45-54,Education (Higher Education),105000,USD,United States,Michigan,21 - 30 years,11 - 20 years,PhD,Man,White,Mid Level
112,45-54,Sales,42000,USD,United States,New Hampshire,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
113,25-34,"Accounting, Banking & Finance",105000,USD,United States,New York,5-7 years,5-7 years,Master's degree,Woman,White,Managerial Level
114,25-34,Computing or Tech,63596,USD,United States,,5-7 years,2 - 4 years,High School,Man,White,Mid Level
115,35-44,Education (Higher Education),121500,USD,United States,California,11 - 20 years,8 - 10 years,College degree,Woman,White,Executive Level
116,45-54,"Accounting, Banking & Finance",90306,USD,United Kingdom,,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Mid Level
117,35-44,Transport or Logistics,67762,USD,Netherlands,,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Managerial Level
118,25-34,Education (Higher Education),75000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
119,35-44,Education (Higher Education),160000,USD,United States,New York,2 - 4 years,2 - 4 years,PhD,Woman,White,Mid Level
120,25-34,"Accounting, Banking & Finance",76304,USD,United States,,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
121,25-34,"Marketing, Advertising & PR",50000,USD,United States,Missouri,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
122,45-54,"Accounting, Banking & Finance",85000,USD,United States,Illinois,21 - 30 years,21 - 30 years,College degree,Woman,White,Executive Level
123,35-44,Media & Digital,42000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
124,35-44,Nonprofits,54100,USD,United States,Iowa,21 - 30 years,8 - 10 years,Master's degree,Woman,White,Mid Level
125,35-44,Education (Higher Education),66857,USD,United States,,5-7 years,5-7 years,PhD,Woman,White,Mid Level
126,45-54,Government and Public Administration,64702,USD,United States,,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
128,55-64,Nonprofits,101500,USD,United States,District of Columbia,31 - 40 years,21 - 30 years,College degree,Woman,White,Managerial Level
130,25-34,Media & Digital,85000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
131,25-34,Education (Higher Education),62000,USD,United States,Massachusetts,5-7 years,5-7 years,College degree,Woman,White,Senior Level
132,35-44,Computing or Tech,130000,USD,United States,,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
133,55-64,Education (Higher Education),55000,USD,United States,,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Mid Level
134,25-34,Government and Public Administration,59015,USD,United States,New Jersey,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
135,25-34,Business or Consulting,74000,USD,United States,New York,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
136,45-54,Social Work,53000,USD,United States,Wisconsin,21 - 30 years,8 - 10 years,Master's degree,Woman,White,Executive Level
138,35-44,Engineering or Manufacturing,100000,USD,United States,Michigan,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
140,35-44,Nonprofits,38000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,Some college,Woman,White,Mid Level
141,18-24,Hospitality & Events,33780,USD,United States,Florida,5-7 years,2 - 4 years,College degree,Non-binary,White,Mid Level
142,35-44,"Accounting, Banking & Finance",58500,USD,United States,Tennessee,11 - 20 years,8 - 10 years,Some college,Woman,White,Managerial Level
143,35-44,Education (Higher Education),85000,USD,United States,Illinois,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
144,35-44,Education (Higher Education),62000,USD,United States,Texas,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
145,25-34,Law,74000,USD,United States,Michigan,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White,Mid Level
146,25-34,Nonprofits,64000,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman,White,Junior Level
147,25-34,Recruitment or HR,69955,USD,United States,,11 - 20 years,8 - 10 years,College degree,Woman,White,Senior Level
148,25-34,Education (Higher Education),19360,USD,Spain,,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
149,35-44,Nonprofits,92000,USD,United States,,11 - 20 years,8 - 10 years,College degree,Woman,White,Managerial Level
151,35-44,Education (Higher Education),42000,USD,United States,Nebraska,11 - 20 years,11 - 20 years,Master's degree,Man,White,Mid Level
153,45-54,Insurance,73000,USD,United States,Colorado,31 - 40 years,31 - 40 years,High School,Woman,White,Senior Level
154,35-44,Nonprofits,68683,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
155,45-54,Health care,100000,USD,United States,Georgia,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
157,18-24,Government and Public Administration,63128,USD,United States,District of Columbia,2 - 4 years,1 year or less,Master's degree,Woman,White,Mid Level
159,25-34,Computing or Tech,130000,USD,United States,Virginia,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
161,25-34,"Accounting, Banking & Finance",60000,USD,United States,Ohio,5-7 years,5-7 years,Master's degree,Woman,White,Senior Level
162,35-44,Nonprofits,37000,USD,United States,Ohio,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
163,25-34,Engineering or Manufacturing,88000,USD,United States,South Carolina,5-7 years,5-7 years,College degree,Woman,White,Mid Level
164,35-44,Media & Digital,65000,USD,United States,Texas,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
165,25-34,Nonprofits,92000,USD,United States,Massachusetts,8 - 10 years,5-7 years,Master's degree,Woman,White,Executive Level
166,25-34,Health care,37645,USD,Finland,,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
167,25-34,Engineering or Manufacturing,69000,USD,United States,Wisconsin,5-7 years,2 - 4 years,College degree,Man,White,Mid Level
168,35-44,"Marketing, Advertising & PR",35000,USD,United States,Indiana,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
169,25-34,"Accounting, Banking & Finance",75000,USD,United States,Oklahoma,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
170,25-34,Engineering or Manufacturing,122500,USD,United States,Florida,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Executive Level
171,25-34,Government and Public Administration,119000,USD,United States,,8 - 10 years,5-7 years,Master's degree,,"Hispanic, Latino, or Spanish origin",Mid Level
172,35-44,Nonprofits,70000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
173,45-54,Computing or Tech,145000,USD,United States,Colorado,21 - 30 years,11 - 20 years,Some college,Woman,White,Managerial Level
175,35-44,"Marketing, Advertising & PR",400000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
176,35-44,Nonprofits,61199,USD,United States,Illinois,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
177,25-34,"Marketing, Advertising & PR",120832,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Executive Level
178,25-34,Recruitment or HR,66000,USD,United States,Georgia,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
179,35-44,Computing or Tech,70000,USD,United States,Texas,8 - 10 years,5-7 years,College degree,Woman,Black or African American,Mid Level
180,25-34,Education (Higher Education),52000,USD,United States,Massachusetts,5-7 years,5-7 years,College degree,Woman,White,Mid Level
181,45-54,Property or Construction,80500,USD,United States,Florida,21 - 30 years,11 - 20 years,Some college,Woman,White,Managerial Level
182,25-34,"Marketing, Advertising & PR",57000,USD,United States,Virginia,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
183,25-34,Nonprofits,83200,USD,United States,District of Columbia,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Junior Level
184,18-24,"Marketing, Advertising & PR",77500,USD,United States,New York,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American,Managerial Level
185,35-44,Retail,31199,USD,United States,Florida,11 - 20 years,1 year or less,College degree,Woman,White,Mid Level
186,25-34,Health care,40701,USD,United Kingdom,,2 - 4 years,1 year or less,Master's degree,Woman,White,Mid Level
187,35-44,"Marketing, Advertising & PR",225000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,Executive Level
189,45-54,Law,220000,USD,United States,California,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American,Senior Level
190,25-34,Retail,100000,USD,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
191,25-34,Computing or Tech,80000,USD,United States,,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
193,25-34,Education (Higher Education),52500,USD,United States,North Carolina,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
194,25-34,Media & Digital,38721,USD,France,,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Mid Level
195,25-34,"Accounting, Banking & Finance",94000,USD,United States,Illinois,2 - 4 years,2 - 4 years,College degree,Woman,White,Managerial Level
196,25-34,Engineering or Manufacturing,57000,USD,United States,Washington,5-7 years,5-7 years,College degree,Woman,White,Mid Level
197,35-44,Computing or Tech,91000,USD,United States,California,8 - 10 years,5-7 years,College degree,Woman,White,Senior Level
198,35-44,Nonprofits,90000,USD,United States,District of Columbia,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
199,35-44,Hospitality & Events,66950,USD,United States,Indiana,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
200,25-34,Government and Public Administration,76000,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
201,25-34,Engineering or Manufacturing,73771,USD,United Kingdom,,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
202,25-34,Nonprofits,75000,USD,United States,Pennsylvania,8 - 10 years,5-7 years,Master's degree,Woman,White,Managerial Level
203,25-34,Education (Higher Education),62500,USD,United States,,2 - 4 years,2 - 4 years,PhD,Non-binary,White,Mid Level
204,35-44,Engineering or Manufacturing,80000,USD,United States,Nebraska,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
205,35-44,Nonprofits,70000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
206,25-34,Education (Higher Education),34299,USD,United States,Maine,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
207,25-34,Computing or Tech,114472,USD,United States,,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
208,35-44,Education (Higher Education),50000,USD,United States,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
209,35-44,Hospitality & Events,85000,USD,United States,New York,11 - 20 years,5-7 years,College degree,Woman,White,Executive Level
210,35-44,Retail,102000,USD,United States,California,8 - 10 years,2 - 4 years,High School,Woman,White,Managerial Level
211,35-44,Law,125000,USD,United States,District of Columbia,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Junior Level
213,55-64,Law,275000,USD,United States,Minnesota,31 - 40 years,31 - 40 years,Master's degree,Woman,White,Mid Level
215,35-44,Engineering or Manufacturing,148000,USD,United States,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
216,25-34,Law,54580,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
217,35-44,Insurance,200000,USD,United States,,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Managerial Level
218,25-34,"Marketing, Advertising & PR",43602,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
219,45-54,Education (Primary/Secondary),71000,USD,United States,Texas,21 - 30 years,11 - 20 years,Master's degree,Man,White,Mid Level
220,25-34,Nonprofits,53000,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman,White,Junior Level
221,35-44,Health care,82160,USD,United States,Wisconsin,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
222,25-34,Recruitment or HR,71000,USD,United States,New York,11 - 20 years,2 - 4 years,College degree,Woman,White,Mid Level
223,18-24,Engineering or Manufacturing,25700,USD,United States,Indiana,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
225,35-44,Education (Higher Education),77000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
226,35-44,Health care,50000,USD,United States,Arizona,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
228,25-34,Government and Public Administration,31615,USD,United States,Georgia,5-7 years,2 - 4 years,College degree,Non-binary,White,Mid Level
229,35-44,Government and Public Administration,97000,USD,United States,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
230,18-24,Business or Consulting,62000,USD,United States,Massachusetts,1 year or less,1 year or less,College degree,Woman,White,Mid Level
232,25-34,Education (Primary/Secondary),71000,USD,United States,New York,5-7 years,5-7 years,College degree,Non-binary,White,Mid Level
233,45-54,Computing or Tech,88000,USD,United States,North Carolina,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
234,25-34,Property or Construction,31499,USD,United States,South Carolina,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American,Managerial Level
235,25-34,Health care,76000,USD,United States,Massachusetts,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
236,35-44,Health care,195000,USD,United States,Massachusetts,21 - 30 years,21 - 30 years,College degree,Non-binary,White,Mid Level
237,25-34,"Accounting, Banking & Finance",45760,USD,United States,California,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
238,25-34,"Marketing, Advertising & PR",86000,USD,United States,Florida,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
239,25-34,Engineering or Manufacturing,56857,USD,United States,,5-7 years,5-7 years,Master's degree,Woman,White,Managerial Level
240,25-34,Education (Higher Education),56000,USD,United States,Wisconsin,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
243,25-34,Law,125000,USD,United States,Tennessee,5-7 years,5-7 years,Master's degree,Woman,White,Junior Level
244,25-34,Property or Construction,55000,USD,United States,Florida,5-7 years,2 - 4 years,College degree,Woman,White,Managerial Level
245,35-44,Computing or Tech,175000,USD,United States,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
246,25-34,Health care,60000,USD,United States,Tennessee,8 - 10 years,2 - 4 years,College degree,Woman,White,Mid Level
247,25-34,Law,190000,USD,United States,Massachusetts,1 year or less,1 year or less,Master's degree,Woman,White,Junior Level
248,45-54,Utilities & Telecommunications,60320,USD,United States,Pennsylvania,21 - 30 years,8 - 10 years,Some college,Woman,White,Mid Level
250,45-54,Education (Primary/Secondary),94000,USD,United States,Connecticut,21 - 30 years,21 - 30 years,PhD,Woman,White,Mid Level
251,25-34,Health care,71217,USD,United States,,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
252,35-44,Government and Public Administration,49000,USD,United States,Oregon,11 - 20 years,11 - 20 years,Some college,Woman,White,Mid Level
